x,y
-7.289686274214108863e+00,3.154528940713107410e+00
-7.071067811865477282e+00,2.928932188134526271e+00
-6.845471059286882820e+00,2.710313725785881367e+00
-6.613118653236522704e+00,2.498889303695408515e+00
-6.374239897486896567e+00,2.294867572242106135e+00
-6.129070536529757973e+00,2.098449876243091428e+00
-5.877852522924733591e+00,1.909830056250526598e+00
-5.620833778521302726e+00,1.729194257254379474e+00
-5.358267949789970785e+00,1.556720744979852578e+00
-5.090414157503712289e+00,1.392579729960562451e+00
-4.817536741017145019e+00,1.236933199561359720e+00
-4.539904997395469266e+00,1.089934758116322122e+00
-4.257792915650721710e+00,9.517294753398031215e-01
-3.971478906347811755e+00,8.224537431601908199e-01
-3.681245526846778748e+00,7.022351411174854174e-01
-3.387379202452906135e+00,5.911923104577421206e-01
-3.090169943749476289e+00,4.894348370484646882e-01
-2.789911060392287645e+00,3.970631432305682385e-01
-2.486898871648544951e+00,3.141683887136881292e-01
-2.181432413965424200e+00,2.408323806125256539e-01
-1.873813145857238238e+00,1.771274927131116783e-01
-1.564344650402311299e+00,1.231165940486234067e-01
-1.253332335643037920e+00,7.885298685522124096e-02
-9.410831331851403636e-01,4.438035396920003706e-02
-6.279051952931326008e-01,1.973271571728441032e-02
-3.141075907812747037e-01,4.934396342683999848e-03
